Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_IDR,HDD,SSD,Flash Storage,Hybrid,Memory_2,Touchscreen,IPS,TypeResolution,x_res,y_res
2,4,14.0,97,8,256,72,5,1.3,20281000.0,0,1,0,0,0,0,1,1,1920,1080
11,1,15.6,102,16,256,76,5,2.2,22083000.0,1,1,0,0,1000,0,0,1,1920,1080
10,3,14.0,97,8,256,53,5,1.58,25160000.0,0,1,0,0,0,0,1,1,1920,1080
2,4,15.6,106,16,256,98,5,1.5,21454000.0,1,1,0,0,1000,0,0,1,1920,1080
4,4,13.3,98,8,256,58,5,1.23,23443000.0,0,1,0,0,0,1,0,2,3200,1800
10,0,13.3,74,8,256,53,5,1.37,23783000.0,0,1,0,0,0,1,1,1,1920,1080
7,3,14.0,83,4,500,61,5,1.63,12274000.0,1,0,0,0,0,0,1,0,1366,768
4,4,13.3,83,8,256,61,5,1.21,27693000.0,0,1,0,0,0,0,1,1,1920,1080
7,0,13.3,83,8,256,61,5,1.26,23782830.0,0,1,0,0,0,1,1,1,1920,1080
7,3,14.0,106,8,512,61,5,1.63,18428000.0,0,1,0,0,0,0,0,1,1920,1080
4,3,15.6,106,8,256,72,5,2.16,19215610.0,1,1,0,0,1000,0,1,1,1920,1080
2,3,17.3,56,4,1000,66,5,2.0,9588000.0,1,0,0,0,0,0,0,1,1920,1080
2,3,15.6,106,8,256,72,5,1.7,19006000.0,0,1,0,0,0,0,0,1,1920,1080
0,3,15.6,59,6,1000,53,5,2.1,8143000.0,1,0,0,0,0,1,1,1,1920,1080
11,1,15.6,102,16,256,80,5,1.8,38105500.0,1,1,0,0,2000,0,0,1,1920,1080
10,3,15.6,74,8,256,72,4,2.2,10693000.0,0,1,0,0,0,0,0,1,1920,1080
7,3,17.3,106,16,512,70,5,2.5,21607000.0,0,1,0,0,0,0,0,1,1920,1080
0,3,15.6,14,4,256,17,5,2.1,7667000.0,0,1,0,0,0,0,0,0,1366,768
7,3,15.6,36,4,500,41,4,1.86,4403000.0,1,0,0,0,0,0,0,0,1366,768
7,3,14.0,83,8,1000,61,5,1.63,13804000.0,1,0,0,0,0,0,0,1,1920,1080
2,3,14.0,16,4,64,12,6,1.65,4725830.0,0,1,0,0,0,0,0,0,1366,768
4,3,17.3,106,16,256,7,5,2.8,23732000.0,1,1,0,0,2000,0,0,1,1920,1080
7,3,17.3,83,8,256,61,5,2.5,15776000.0,0,1,0,0,0,0,0,1,1920,1080
4,3,15.6,74,8,1000,30,5,2.36,10862830.0,1,0,0,0,0,0,0,0,1366,768
4,3,15.6,56,4,1000,24,5,2.2,7633000.0,1,0,0,0,0,0,0,1,1920,1080
0,4,14.0,106,8,256,61,5,1.6,15028000.0,0,1,0,0,0,0,1,1,1920,1080
0,3,15.6,60,4,256,97,5,2.2,9724000.0,0,1,0,0,0,0,0,1,1920,1080
7,3,15.6,97,8,1000,53,5,2.05,10166000.0,1,0,0,0,0,0,0,0,1366,768
7,3,14.0,106,8,256,61,5,1.63,16796000.0,0,1,0,0,0,0,0,1,1920,1080
10,3,15.6,37,4,1000,43,4,1.9,4290120.0,1,0,0,0,0,0,0,0,1366,768
2,1,17.3,77,8,128,75,5,3.0,15946000.0,1,1,0,0,1000,0,0,1,1920,1080
10,3,15.6,74,4,1000,66,4,2.2,8483000.0,1,0,0,0,0,0,0,1,1920,1080
7,3,13.3,74,4,256,53,5,1.32,11883000.0,0,1,0,0,0,0,1,1,1920,1080
0,3,17.3,60,4,1000,97,5,3.0,11135000.0,1,0,0,0,0,0,1,1,1920,1080
10,3,14.0,83,8,256,35,5,1.75,18972340.0,0,1,0,0,0,0,1,1,1920,1080
10,1,15.6,102,8,256,77,4,2.4,14773000.0,0,1,0,0,0,0,1,1,1920,1080
16,3,15.6,68,4,500,47,5,2.1,10234000.0,1,0,0,0,0,0,0,0,1366,768
